batsman,Bangalore,Chennai,Delhi,Hyderabad,Jaipur,Kochi,Kolkata,Mohali,Mumbai,Pune,Rajkot
AR Bawne,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AR Patel,5.0,1.0,2.0,5.0,1.0,0.0,4.0,17.0,2.0,2.0,3.0
AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
AS Raut,1.0,0.0,1.0,1.0,9.0,0.0,2.0,2.0,0.0,0.0,0.0
AS Yadav,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT Rayudu,7.0,6.0,5.0,1.0,7.0,0.0,6.0,7.0,60.0,6.0,0.0
AUK Pathan,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0
Abdur Razzak,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Anirudh Singh,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ankit Sharma,1.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0
Ankit Soni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Anureet Singh,0.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
Azhar Mahmood,1.0,1.0,3.0,3.0,1.0,0.0,1.0,10.0,1.0,0.0,0.0
B Akhil,2.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
B Chipli,0.0,3.0,4.0,6.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0
B Kumar,4.0,1.0,0.0,9.0,1.0,0.0,4.0,1.0,4.0,9.0,0.0
B Laughlin,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
B Lee,2.0,0.0,2.0,1.0,3.0,1.0,2.0,6.0,2.0,0.0,0.0
B Sumanth,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA Bhatt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
BA Stokes,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0
BAW Mendis,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
BB McCullum,5.0,18.0,9.0,7.0,5.0,4.0,22.0,4.0,8.0,4.0,17.0
BB Samantray,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
BB Sran,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
BCJ Cutting,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
BE Hendricks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
BJ Haddin,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BJ Hodge,4.0,3.0,3.0,5.0,20.0,5.0,12.0,5.0,3.0,3.0,0.0
BJ Rohrer,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
BMAJ Mendis,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BR Dunk,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Basil Thampi,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
Bipul Sharma,1.0,0.0,0.0,6.0,0.0,0.0,1.0,6.0,0.0,2.0,1.0
C Madan,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C Munro,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
C Nanda,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
C de Grandhomme,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0
CA Ingram,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
CA Lynn,2.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0
CA Pujara,6.0,0.0,1.0,3.0,0.0,0.0,6.0,5.0,1.0,0.0,0.0
CH Gayle,46.0,5.0,6.0,6.0,5.0,0.0,14.0,7.0,7.0,0.0,4.0
CH Morris,0.0,3.0,10.0,1.0,7.0,0.0,1.0,1.0,2.0,2.0,1.0
